"code","display_name","brands","countries","categories","ingredients_text","nova_group","nutriscore_grade","ecoscore_grade","energy_kcal_100g","sugars_100g","salt_100g","game_ready","review_status","review_notes","source_dataset","selection_rationale"
"8901088000451","Parachnute 100% Pure Coconut Oil","Parachute","France,India,Somalia","Plant-based foods and beverages,Plant-based foods,Fats,Vegetable fats,Vegetable oils,Fruit and fruit seed oils,Coconut oils","Coconut Oil","2","e","unknown","900.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","India-listed product; verify familiarity and classification"
"6191509900664","Extra Virgin Olive Oil","Terra Delyssa","France, Switzerland, Tunisia, United States, World, en:united-kingdom","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Matières grasses végétales, Produits de l'olivier, Huiles, Huiles d'olive, Huiles d'olive vierges extra, Huiles d'olive de Tunisie, Huiles d'olive vierges","First Cold Pressed Extra Virgin Olive Oil","2","b","b","800.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0815074022915","Avocado Oil Spray","Chosen Foods","Canada, United States, World, en:united-kingdom","Plant-based foods and beverages,Plant-based foods,Fats,Vegetable oils,Fruit and fruit seed oils,Avocado oils,Avocado","AVOCADO OIL.","2","unknown","f","","","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"5011835101058","Smooth Peanut Butter imp","Whole earth","France, United Arab Emirates, en:united-kingdom","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Fats, Spreads, Nuts and their products, Plant-based spreads, Oilseed purees, Legume butters, Nut butters, Peanut butters","roasted peanuts (96%), sustainable palm oil, sea salt","2","c","d","645.0","4.2","0.9825","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"3451790988677","Le Beurre Tendre Doux","Elle & Vire, Savencia","Canada,France,Suisse,États-Unis","Dairies, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy-spread, Butters, Unsalted butters, Sweet cream butters, Butter-82-fat-unsalted-easy-to-spread, fr:Beurres tendres","cream (origin france), milk fat , lactic ferments,","2","e","d","744.0","0.8","0.05","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"3165432640006","Sucre de glace","Daddy","Canada,France","Édulcorants,Sucres,Sucres glaces","icing sugar, starch","2","e","a","400.0","98.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"6191509900671","Extra Virgin Olive Oil","Terra Delyssa","France, United States, World, en:united-kingdom","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Matières grasses,Matières grasses végétales,Produits de l'olivier,Huiles,Huiles d'olive,Huiles d'olive vierges extra,Huiles d'olive de Tunisie,Huiles d'olive vierges","EXTRA VIRGIN OLIVE OIL","2","b","d","821.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0037600106740","Peanut Butter Spread","Skippy Natural Creamy","United States","Plant-based foods and beverages,Plant-based foods,Legumes and their products,Fats,Spreads,Nuts and their products,Plant-based spreads,Vegetable fats,Oilseed purees,Legume butters,Nut butters,Peanut butters","ROASTED PEANUTS, SUGAR, PALM OIL, SALT.","2","c","d","594.0","9.38","1.17","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0096619555505","Organic Creamy Peanut Butter","Kirkland","France,United States","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Fats, Spreads, Nuts and their products, Plant-based spreads, Vegetable fats, Oilseed purees, Legume butters, Nut butters, Peanut butters","Dry roasted organic peanuts, sea salt","2","a","c","562.0","3.12","0.508","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0767707001067","Pure Irish Butter Salted","Kerrygold","United States, World","Dairies, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy-spread, Butters, Salted butters, Sweet cream butters","Pasteurized cream, salt.","2","e","d","714.0","","1.79","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0074305001321","Apple Cider Vinegar","Bragg","France,United States, World","Condiments, Sauces, Vinegars, Cider vinegars, Groceries","Certified Organic, Raw Apple Cider Vinegar and Purified Water","2","not-applicable","a","0.0","","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"6191509905058","Huile d'olive vierge extra (Biologique)","TERRA DELYSSA","Canada,France","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Matières grasses,Matières grasses végétales,Produits de l'olivier,Huiles,Huiles d'olive,Huiles d'olive vierges extra,Huiles d'olive de Tunisie,Huiles d'olive vierges","Huile d'olive vierge Extra Biologique première pression à froid","2","b","d","800.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
"0096619032938","Raw & Unfiltered Honey","Kirkland Signature","France, French Polynesia, United States, en:morocco","Breakfasts, Spreads, Sweet spreads, Bee products, Farming products, Sweeteners, Honeys","organic raw honey","2","d","b","286.0","76.2","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable product from a global-priority market; verify familiarity and classification"
